Customer Segment	RFM Score	M_quantile	F_quantile	R_quantitle	last_to_present	Total Paid	CustomerID	Quantity	InvoiceNo
Normal	344	4	4	3	218	59.9	17174	41	4
Normal	343	3	4	3	246	310.05	14924	64	10
Best Customer	111	1	1	1	3	2796.51	13769	1163	135
Normal	234	4	3	2	164	110.92	15537	29	24
Best Customer	111	1	1	1	87	7194.3	16745	6735	357
Best Customer	111	1	1	1	33	1770.56	14387	819	140
Best Customer	111	1	1	1	59	2836.69	14852	1747	143
Normal	344	4	4	3	212	101.4	16006	84	8
Best Customer	111	1	1	1	6	1995.46	17827	1247	220
Newest Customer	144	4	4	1	39	151.3	13697	177	12
Highest Paying Customer	231	1	3	2	156	1837.92	14459	760	37
Normal	344	4	4	3	185	298.48	15609	148	16
Best Customer	111	1	1	1	17	2552.21	14334	1731	162
Best Customer	111	1	1	1	10	2073.09	18241	1051	104
Newest Customer	144	4	4	1	94	128.5	16828	59	8
Loyal Customer	112	2	1	1	41	719.78	14179	330	165
Newest Customer	144	4	4	1	87	228.96	17347	216	1
Normal	324	4	2	3	355	216.76	15460	109	58
Churn Customer	444	4	4	4	369	56.25	15899	39	4
Loyal Customer	112	2	1	1	6	697.04	13596	406	166
Normal	233	3	3	2	135	425.32	15639	323	25
Normal	333	3	3	3	212	582.59	17970	525	31
Normal	132	2	3	1	44	990.88	16232	550	37
Newest Customer	144	4	4	1	69	213.5	16591	41	10
Normal	122	2	2	1	12	1400.34	14741	841	59
Normal	222	2	2	2	145	747.81	16859	827	52
Loyal Customer	112	2	1	1	89	1060.68	15996	384	130
"Once Customer, Now Gone"	443	3	4	4	373	326	15363	144	16
Loyal Customer	312	2	1	3	247	1058.62	14465	405	130
Normal	122	2	2	1	9	1297.87	15602	1141	47
Normal	133	3	3	1	12	314.69	17237	105	19
Normal	133	3	3	1	10	375.35	14448	104	20
Normal	124	4	2	1	50	155.37	17832	208	61
Newest Customer	144	4	4	1	30	266.76	14863	132	11
Normal	132	2	3	1	5	1028	16682	1040	30
Best Customer	111	1	1	1	4	37130.6	16013	15536	139
Normal	333	3	3	3	303	330.79	13706	189	20
Highest Paying Customer	341	1	4	3	326	77183.6	12346	74215	1
Highest Paying Customer	311	1	1	3	307	3734.97	15808	1343	208
Normal	433	3	3	4	374	487.75	15165	160	27
Newest Customer	143	3	4	1	51	612.08	18149	310	16
Normal	134	4	3	1	6	247.15	14658	47	29
Normal	133	3	3	1	8	584.07	14023	345	31
Normal	122	2	2	1	15	1122.38	17562	817	63
Normal	132	2	3	1	11	653.33	13496	341	35
Normal	343	3	4	3	218	404.4	16319	72	3
Normal	133	3	3	1	24	484.82	16999	294	23
Best Customer	111	1	1	1	33	2467.35	17164	1501	144
Best Customer	111	1	1	1	2	6424.09	13102	4204	304
Normal	343	3	4	3	192	617.05	14377	219	11
Normal	132	2	3	1	72	800.24	17905	407	34
Best Customer	111	1	1	1	9	2007.44	15531	1105	228
Loyal Customer	212	2	1	2	115	1496.83	16755	1064	170
Normal	333	3	3	3	300	436.18	16084	216	38
Normal	323	3	2	3	360	306.84	17551	150	43
Normal	333	3	3	3	234	454.24	13485	277	23
Normal	122	2	2	1	23	651.82	14034	423	89
Normal	123	3	2	1	100	636.14	15829	996	51
Normal	133	3	3	1	58	638.06	18160	294	39
Normal	133	3	3	1	23	598.2	16298	198	27
Newest Customer	144	4	4	1	19	195.36	17010	118	11
Best Customer	111	1	1	1	9	6580.44	15144	3050	217
Normal	134	4	3	1	71	203.2	17376	86	24
Best Customer	111	1	1	1	16	4308.61	15034	2422	394
Highest Paying Customer	121	1	2	1	25	1949.72	14533	4019	62
Highest Paying Customer	141	1	4	1	100	3070.42	13631	467	11
Newest Customer	144	4	4	1	31	175.92	18274	88	11
Normal	244	4	4	2	138	200.47	17693	231	16
Normal	122	2	2	1	66	1120.88	15730	689	70
Highest Paying Customer	121	1	2	1	22	5112.96	13941	2364	45
Best Customer	111	1	1	1	32	3237.54	13047	1391	172
Normal	133	3	3	1	89	620.4	16141	238	30
Normal	122	2	2	1	43	837.1	16554	402	52
Normal	243	3	4	2	123	356	15247	160	6
Normal	134	4	3	1	18	199.48	13322	117	25
Loyal Customer	112	2	1	1	30	885.04	17109	589	117
Highest Paying Customer	131	1	3	1	71	2116.19	18008	1581	30
Normal	133	3	3	1	41	541.53	17447	443	36
Normal	233	3	3	2	114	612.06	15232	686	31
Best Customer	111	1	1	1	67	2273.68	13317	1035	124
Best Customer	111	1	1	1	15	1835.91	13048	1238	136
Normal	243	3	4	2	149	309.4	14847	120	13
Newest Customer	143	3	4	1	80	561.57	13946	443	11
Best Customer	111	1	1	1	11	4154.64	16549	2365	981
Loyal Customer	112	2	1	1	6	808.62	17114	219	127
Normal	343	3	4	3	201	326.4	17715	384	1
Normal	323	3	2	3	304	365.85	17358	202	59
Normal	123	3	2	1	51	526.67	18252	239	98
Highest Paying Customer	121	1	2	1	20	7354.62	15465	1257	97
Highest Paying Customer	121	1	2	1	3	1604.75	16817	822	86
Normal	133	3	3	1	39	578.94	13292	347	31
Normal	324	4	2	3	254	263.55	15894	168	41
Highest Paying Customer	121	1	2	1	51	3447.4	15129	1794	84
Churn Customer	444	4	4	4	369	76.32	18113	72	1
Newest Customer	144	4	4	1	47	130.74	15844	134	11
Loyal Customer	112	2	1	1	6	1570.81	16283	1236	166
Normal	122	2	2	1	47	654.67	16444	407	84
Normal	344	4	4	3	188	110.55	16963	35	7
Best Customer	111	1	1	1	1	15610.39	14051	3756	210
Best Customer	111	1	1	1	2	5704.97	13468	2589	302
Normal	344	4	4	3	205	216.5	12897	110	4
Best Customer	111	1	1	1	33	2001.8	15493	560	297
Normal	134	4	3	1	31	147.59	14968	127	37
Normal	132	2	3	1	74	684.42	16122	1128	38
Highest Paying Customer	211	1	1	2	106	1905.84	14210	760	102
Newest Customer	144	4	4	1	47	144	17186	200	2
Normal	244	4	4	2	130	111.35	17887	30	10
Normal	223	3	2	2	145	385.64	13821	153	59
Churn Customer	444	4	4	4	373	15	15823	1	1
Normal	133	3	3	1	4	399.19	18154	255	21
Normal	124	4	2	1	76	296.42	15154	104	85
Normal	243	3	4	2	122	327.7	14024	150	16
Highest Paying Customer	121	1	2	1	8	2044.87	13495	829	48
Best Customer	111	1	1	1	13	2126.93	16407	1124	172
Loyal Customer	312	2	1	3	242	1269.99	14669	775	170
Normal	133	3	3	1	15	541.46	17557	306	34
Normal	134	4	3	1	20	255.4	14881	316	17
Normal	133	3	3	1	29	491.86	13732	498	33
Normal	222	2	2	2	178	833.78	16644	826	62
Newest Customer	143	3	4	1	40	618.52	13145	145	6
Best Customer	111	1	1	1	9	3965.62	14299	2149	143
Loyal Customer	113	3	1	1	4	525.24	17290	404	102
Normal	343	3	4	3	190	349.1	15405	193	8
Normal	122	2	2	1	12	1314.81	14511	784	68
Loyal Customer	113	3	1	1	16	471.51	16885	184	101
Newest Customer	144	4	4	1	16	49.8	18184	60	1
Best Customer	111	1	1	1	61	2155.95	13224	1518	108
Normal	124	4	2	1	73	283.47	17783	354	67
Normal	323	3	2	3	204	600.07	13243	233	58
Newest Customer	143	3	4	1	32	537	15043	300	3
Normal	234	4	3	2	158	160.42	18203	43	19
Normal	344	4	4	3	324	97.7	15422	38	6
Newest Customer	144	4	4	1	65	145.35	15937	73	7
Best Customer	111	1	1	1	32	1867.68	14524	676	203
Newest Customer	144	4	4	1	16	122.64	13638	93	8
Normal	122	2	2	1	51	818.82	17764	395	75
Best Customer	111	1	1	1	17	5064.94	13139	2425	170
Loyal Customer	212	2	1	2	178	702.25	15574	349	168
Normal	133	3	3	1	100	387.52	14420	334	29
Loyal Customer	213	3	1	2	139	562.9	17265	394	127
Normal	233	3	3	2	142	601.27	16654	282	29
Highest Paying Customer	141	1	4	1	31	3166.4	16041	1584	6
Normal	122	2	2	1	9	911.26	14289	292	47
Normal	233	3	3	2	149	554.38	14891	505	33
Best Customer	111	1	1	1	17	3131.02	13742	1124	321
Normal	334	4	3	3	188	276.73	16883	104	38
Newest Customer	144	4	4	1	36	94.2	13651	33	6
Best Customer	111	1	1	1	18	5905.64	14505	2759	799
Best Customer	111	1	1	1	5	2806.97	13230	1665	611
Normal	344	4	4	3	193	284.46	18190	140	15
Newest Customer	143	3	4	1	85	419.58	14124	1618	5
Loyal Customer	112	2	1	1	25	665.86	17777	507	194
Normal	122	2	2	1	72	987.86	15062	763	57
Newest Customer	143	3	4	1	76	302.2	17506	139	14
Normal	333	3	3	3	205	349.55	13887	147	19
Highest Paying Customer	121	1	2	1	4	6924.11	12989	2943	64
Highest Paying Customer	121	1	2	1	2	58510.48	17949	30546	70
Normal	122	2	2	1	100	1019.76	13376	493	53
Best Customer	111	1	1	1	51	5070.35	15301	2775	243
Normal	232	2	3	2	128	730.86	14778	306	35
Highest Paying Customer	121	1	2	1	18	1720.3	14834	734	67
Highest Paying Customer	221	1	2	2	135	2515.84	15245	1784	89
Normal	133	3	3	1	100	305.28	13045	221	18
Normal	124	4	2	1	4	249.72	18005	93	60
Best Customer	111	1	1	1	4	2424.94	16143	919	117
Normal	134	4	3	1	48	248.61	17111	302	30
Best Customer	111	1	1	1	9	194550.79	17450	69993	337
Loyal Customer	112	2	1	1	79	1548.7	13320	1096	106
Normal	333	3	3	3	243	379.73	16552	219	17
Best Customer	111	1	1	1	30	2735.37	16003	1185	103
Newest Customer	144	4	4	1	37	195.15	15612	52	6
Normal	134	4	3	1	65	282.45	13177	91	17
Best Customer	111	1	1	1	27	2265.12	13700	2304	197
Normal	133	3	3	1	2	398.7	17830	92	23
Best Customer	111	1	1	1	2	8676.85	17243	3370	400
Highest Paying Customer	121	1	2	1	34	1592.12	16676	636	89
Normal	233	3	3	2	125	462.66	14331	252	28
Best Customer	111	1	1	1	22	7930.54	14849	5694	388
Best Customer	111	1	1	1	67	2004.02	14462	964	240
Normal	344	4	4	3	215	92.72	12821	70	6
Loyal Customer	112	2	1	1	38	804.49	16367	647	130
Normal	222	2	2	2	135	1277.75	16951	1318	86
Normal	124	4	2	1	12	223.65	18101	88	41
Normal	333	3	3	3	319	328.35	15213	272	24
Best Customer	111	1	1	1	32	2526.28	13975	1732	338
Best Customer	111	1	1	1	100	2158.37	16456	1148	111
Normal	124	4	2	1	40	291.41	13544	127	87
Highest Paying Customer	121	1	2	1	5	26879.04	17857	19256	54
Newest Customer	143	3	4	1	81	490.86	14236	310	15
Normal	133	3	3	1	20	371.2	14950	136	19
Normal	344	4	4	3	254	226.85	17212	147	4
Normal	134	4	3	1	29	166.42	18014	68	32
Normal	344	4	4	3	361	102	13948	40	3
Best Customer	111	1	1	1	54	3295.76	14841	1778	138
Normal	122	2	2	1	30	1071.99	15238	692	50
Newest Customer	143	3	4	1	67	449.12	15739	472	8
Normal	123	3	2	1	41	544.18	13617	300	44
Normal	323	3	2	3	214	533.3	15433	534	41
Normal	123	3	2	1	9	627.13	15028	459	48
Newest Customer	143	3	4	1	62	557.62	13260	142	8
Normal	123	3	2	1	41	507.66	14158	781	41
Normal	133	3	3	1	16	537.48	14539	428	32
Normal	122	2	2	1	37	864.86	16221	717	97
Newest Customer	144	4	4	1	53	208.75	15327	116	10
Normal	344	4	4	3	223	217.9	16634	82	9
Normal	242	2	4	2	111	716	17029	400	2
Best Customer	111	1	1	1	2	3628.5	17528	2138	253
Normal	233	3	3	2	128	621.23	13402	479	39
Newest Customer	143	3	4	1	44	389.64	14752	260	5
Highest Paying Customer	331	1	3	3	359	1660.9	12967	438	19
Best Customer	111	1	1	1	54	3346.28	13015	1617	176
Normal	334	4	3	3	355	290.51	15279	189	19
Best Customer	111	1	1	1	48	4339.74	14800	3655	385
Normal	122	2	2	1	16	1418.32	16173	575	84
Normal	122	2	2	1	72	743.53	13354	604	51
Best Customer	111	1	1	1	30	6893.42	17416	4302	269
Best Customer	111	1	1	1	25	2885.24	13735	1130	196
Normal	134	4	3	1	27	228.91	13146	154	17
Newest Customer	143	3	4	1	27	589.7	14882	158	11
Best Customer	111	1	1	1	43	2148.63	17272	1778	114
Normal	244	4	4	2	170	214.06	16647	146	14
Loyal Customer	112	2	1	1	23	780.43	17797	498	111
Normal	242	2	4	2	130	1487.6	17553	1048	2
Normal	122	2	2	1	47	1412.94	17004	819	44
Normal	122	2	2	1	52	1215.82	13491	903	86
Normal	322	2	2	3	237	854.99	12878	547	47
Highest Paying Customer	141	1	4	1	38	2560	16308	8000	4
Best Customer	111	1	1	1	50	1905.45	15819	1357	123
Newest Customer	143	3	4	1	46	401.4	15158	198	7
Normal	344	4	4	3	313	177.5	16403	114	10
Normal	133	3	3	1	10	453.4	18158	354	34
Highest Paying Customer	121	1	2	1	61	1835.7	14665	740	90
Normal	324	4	2	3	272	296.88	13708	306	51
Normal	122	2	2	1	60	1173.12	14857	464	60
Newest Customer	142	2	4	1	64	712.88	13169	272	13
Normal	222	2	2	2	117	1000.16	18143	570	61
Normal	122	2	2	1	30	1567.48	15111	710	84
Loyal Customer	112	2	1	1	45	675.27	16418	288	102
Normal	224	4	2	2	102	230.53	15866	126	45
Newest Customer	142	2	4	1	8	1133.25	16989	1233	12
Normal	132	2	3	1	30	917.07	14712	315	25
Loyal Customer	112	2	1	1	18	746.83	16261	306	124
Normal	123	3	2	1	41	499.42	14077	268	42
Normal	344	4	4	3	289	296.25	13751	152	9
Normal	244	4	4	2	108	240	17256	141	16
Churn Customer	444	4	4	4	374	256.44	16048	144	8
Newest Customer	144	4	4	1	19	186.01	15567	223	7
Newest Customer	144	4	4	1	95	64	13130	32	2
Loyal Customer	112	2	1	1	24	1303.52	14898	1020	116
Normal	344	4	4	3	197	134.04	14280	52	8
Normal	334	4	3	3	363	122.7	14413	68	23
Best Customer	111	1	1	1	15	1770.88	17813	790	371
Newest Customer	143	3	4	1	80	507.84	17415	114	14
Normal	122	2	2	1	74	789.89	13016	527	47
Normal	344	4	4	3	284	133.25	15709	121	6
Normal	133	3	3	1	12	626.45	13914	380	33
Normal	133	3	3	1	65	393.74	15264	265	23
Normal	344	4	4	3	253	37.4	16162	4	2
Normal	122	2	2	1	37	778.5	14815	744	53
Normal	232	2	3	2	106	749.78	17146	212	35
Normal	334	4	3	3	278	162.7	16517	96	17
Normal	133	3	3	1	20	357.2	18040	148	19
Newest Customer	144	4	4	1	11	247.32	13349	225	16
Normal	132	2	3	1	17	745.52	17034	410	30
Best Customer	111	1	1	1	2	21086.3	16210	7559	123
Newest Customer	144	4	4	1	75	145.67	13866	57	7
Normal	343	3	4	3	318	309.8	15661	236	5
Normal	122	2	2	1	76	924.85	15312	516	47
Normal	123	3	2	1	74	417.73	16629	493	64
Normal	122	2	2	1	54	939.37	17527	488	47
Normal	244	4	4	2	113	135.95	12968	73	5
Normal	132	2	3	1	73	1544.13	13397	430	38
Normal	134	4	3	1	46	212.54	17928	140	23
Loyal Customer	112	2	1	1	46	693.32	13601	548	99
Normal	122	2	2	1	27	974.52	15449	812	60
Normal	133	3	3	1	64	590.93	13276	161	30
Highest Paying Customer	311	1	1	3	334	2200.42	17406	787	113
Loyal Customer	113	3	1	1	54	423.04	15012	231	128
Normal	134	4	3	1	34	134.46	14174	94	26
Loyal Customer	112	2	1	1	1	1232.18	15910	1015	267
Best Customer	111	1	1	1	67	2055.51	17667	1037	117
Normal	133	3	3	1	58	324.14	14555	130	21
Normal	333	3	3	3	261	380.39	16769	83	40
Normal	134	4	3	1	5	239.76	15690	408	19
Highest Paying Customer	131	1	3	1	16	4892.24	17133	2730	27
Normal	133	3	3	1	23	486.69	15287	433	20
Newest Customer	143	3	4	1	74	305.54	16181	152	11
Newest Customer	144	4	4	1	64	6.2	14792	2	2
Best Customer	111	1	1	1	73	2867.2	13901	1739	149
Best Customer	111	1	1	1	10	3090.74	13362	1382	166
Normal	333	3	3	3	212	612.78	16116	248	34
Normal	333	3	3	3	248	632.4	14220	272	21
Normal	344	4	4	3	193	228.8	13070	110	9
Normal	123	3	2	1	92	589.15	16723	399	43
Highest Paying Customer	121	1	2	1	81	1859.16	17873	1047	44
Newest Customer	144	4	4	1	39	108.98	14345	50	6
Normal	134	4	3	1	15	191.32	14966	187	38
Normal	344	4	4	3	246	104.9	15775	68	7
Normal	343	3	4	3	207	357.98	13976	154	10
Normal	244	4	4	2	110	167.61	16952	92	16
Best Customer	111	1	1	1	64	1841.18	16455	988	99
Normal	122	2	2	1	3	1474.72	12826	1058	91
Highest Paying Customer	121	1	2	1	2	1788.36	14621	993	92
Normal	333	3	3	3	330	430.7	18106	128	39
Normal	133	3	3	1	18	494.44	16352	300	28
Loyal Customer	112	2	1	1	1	1039.58	14446	933	293
Best Customer	111	1	1	1	45	2481.13	14315	1021	101
Normal	122	2	2	1	19	939.32	17227	741	47
Newest Customer	144	4	4	1	8	52.2	14865	108	4
Highest Paying Customer	141	1	4	1	86	2033.1	17846	1	1
Best Customer	111	1	1	1	47	3786.24	16019	1733	160
Normal	344	4	4	3	314	112.75	13161	29	8
Normal	334	4	3	3	270	138.28	13716	138	21
Normal	222	2	2	2	101	1406.59	15596	561	77
Normal	342	2	4	3	257	1276	16692	152	3
Normal	122	2	2	1	10	1072.36	15712	486	53
Normal	122	2	2	1	23	1324.16	17095	618	74
Normal	122	2	2	1	74	657.8	14818	324	48
Newest Customer	142	2	4	1	31	1247.5	13029	134	10
Normal	133	3	3	1	75	348.99	13927	214	21
Normal	343	3	4	3	282	348.2	16159	236	14
Normal	122	2	2	1	11	763.28	17466	306	41
Normal	234	4	3	2	136	254.82	15261	270	19
Normal	122	2	2	1	78	795.12	13336	559	51
Best Customer	111	1	1	1	2	3558.87	17491	2013	109
Normal	133	3	3	1	51	330.03	16593	116	27
Loyal Customer	113	3	1	1	32	471.7	17964	301	104
Highest Paying Customer	221	1	2	2	109	1624.21	13425	1123	78
Loyal Customer	112	2	1	1	55	913.54	12940	411	99
Newest Customer	144	4	4	1	73	158.04	15348	84	9
Loyal Customer	112	2	1	1	6	691.73	13838	263	174
Normal	222	2	2	2	104	1534.26	15625	1188	64
Normal	123	3	2	1	48	380.02	14731	256	45
Normal	223	3	2	2	115	312.14	17070	133	64
Best Customer	111	1	1	1	10	5213.77	15046	3451	206
Normal	122	2	2	1	68	1071.03	13635	677	62
Normal	132	2	3	1	33	712.78	17761	398	19
Normal	344	4	4	3	312	35.8	15940	4	1
Best Customer	111	1	1	1	19	1987.3	13246	1602	141
Newest Customer	144	4	4	1	25	135.86	15419	230	8
Normal	122	2	2	1	4	935.05	14140	811	66
Normal	133	3	3	1	51	363.34	14427	228	17
Normal	133	3	3	1	8	471.78	16038	244	26
Normal	344	4	4	3	242	246.04	17278	179	15
Normal	223	3	2	2	180	350.39	17795	341	46
Best Customer	111	1	1	1	30	3707.12	13148	1975	319
Normal	234	4	3	2	152	258.88	15577	89	39
Normal	244	4	4	2	106	231.1	16641	256	12
Loyal Customer	112	2	1	1	32	944.41	17289	520	111
Normal	344	4	4	3	202	257.7	13227	99	9
Normal	123	3	2	1	32	510.71	15406	254	53
Best Customer	111	1	1	1	4	2780.15	14121	2082	159
Normal	124	4	2	1	23	276.42	14508	131	57
Best Customer	111	1	1	1	44	2707.33	13654	2182	166
Loyal Customer	112	2	1	1	41	1337.72	15059	604	237
Highest Paying Customer	121	1	2	1	16	1659.38	15953	892	98
Highest Paying Customer	221	1	2	2	115	3877.52	18073	3108	73
Normal	322	2	2	3	211	1106.4	12857	343	46
Normal	344	4	4	3	197	207.5	16323	50	1
Normal	233	3	3	2	174	404.3	16484	200	25
Best Customer	111	1	1	1	13	7247.61	16923	3417	672
Best Customer	111	1	1	1	1	4206.39	15804	2567	263
Normal	344	4	4	3	244	110.97	13508	24	12
Normal	122	2	2	1	9	708.22	15951	313	41
Normal	334	4	3	3	265	267.18	15408	106	34
Newest Customer	142	2	4	1	78	680.02	16872	600	7
Normal	332	2	3	3	199	1143.27	17770	365	38
Normal	122	2	2	1	62	1055.35	14514	589	73
Best Customer	111	1	1	1	2	4690.31	14135	3850	134
Normal	122	2	2	1	5	697.79	15053	986	71
Normal	324	4	2	3	362	250.04	17303	144	53
Loyal Customer	112	2	1	1	22	1299.23	15494	1148	125
Loyal Customer	112	2	1	1	58	867.11	16121	586	212
Normal	123	3	2	1	53	650.51	16734	346	53
Normal	123	3	2	1	6	632	13822	611	96
Highest Paying Customer	121	1	2	1	11	2073.43	14209	691	87
Loyal Customer	112	2	1	1	36	1116.57	14971	644	160
Normal	344	4	4	3	250	183.4	13059	35	8
Normal	344	4	4	3	219	134.7	14340	58	6
Loyal Customer	112	2	1	1	4	717.45	17884	854	117
Best Customer	111	1	1	1	30	12353.29	17340	5967	407
Normal	333	3	3	3	208	463.38	14489	299	30
Normal	133	3	3	1	31	597.91	14108	381	34
Best Customer	111	1	1	1	8	9743.11	15078	5105	440
Normal	244	4	4	2	129	180.85	16835	61	10
Normal	223	3	2	2	150	305.02	13667	154	87
Best Customer	111	1	1	1	54	2048.45	17612	1808	135
Best Customer	111	1	1	1	8	9053.94	13969	4542	626
Normal	234	4	3	2	128	168.31	18099	149	19
Newest Customer	143	3	4	1	65	315.06	15766	170	11
Normal	122	2	2	1	61	894.41	15211	240	52
Loyal Customer	112	2	1	1	10	896.66	16361	421	106
Newest Customer	144	4	4	1	74	136	16462	16	3
Best Customer	111	1	1	1	22	4345.5	16945	2725	249
Normal	133	3	3	1	2	640.76	13318	304	20
Normal	434	4	3	4	374	102.79	18011	71	28
Highest Paying Customer	311	1	1	3	218	2247.51	15235	1324	143
Highest Paying Customer	211	1	1	2	109	2298.97	16550	1540	251
Best Customer	111	1	1	1	64	3189.81	14844	1833	130
Normal	244	4	4	2	165	51	14351	12	1
Normal	334	4	3	3	274	262.62	17194	119	29
Normal	244	4	4	2	174	178.52	17879	45	6
Normal	122	2	2	1	13	1119.49	13064	516	69
Loyal Customer	312	2	1	3	303	781.02	16725	294	151
Normal	244	4	4	2	171	135.75	16114	43	8
Normal	134	4	3	1	9	221.27	14960	221	27
Newest Customer	144	4	4	1	43	169.48	14218	160	12
Best Customer	111	1	1	1	2	1947.55	14653	950	237
Normal	122	2	2	1	51	903.9	15807	430	48
"Once Customer, Now Gone"	443	3	4	4	374	489.6	18074	190	13
Normal	133	3	3	1	32	547.06	17637	280	35
Normal	133	3	3	1	38	576	15830	415	39
Normal	344	4	4	3	234	103.3	17548	58	5
Highest Paying Customer	121	1	2	1	32	2548.24	14676	2500	42
Highest Paying Customer	221	1	2	2	155	1705.8	16398	758	82
Normal	333	3	3	3	241	623.5	15147	366	28
Normal	122	2	2	1	25	703.47	12883	196	42
Normal	122	2	2	1	79	1122.41	13486	669	69
Normal	333	3	3	3	269	301.9	16297	206	20
Normal	222	2	2	2	173	696.68	15700	357	86
Newest Customer	144	4	4	1	60	73.2	16171	24	3
Best Customer	111	1	1	1	16	10668.47	17139	5182	478
Newest Customer	144	4	4	1	76	193.39	14806	330	11
Normal	134	4	3	1	66	97.97	18033	253	34
Best Customer	111	1	1	1	17	1979.37	17422	2253	117
Normal	122	2	2	1	81	768.24	13356	325	42
Normal	122	2	2	1	79	1384.85	17311	1005	55
Best Customer	111	1	1	1	65	3984.32	15416	2090	192
Normal	132	2	3	1	25	974.54	14522	525	17
Normal	133	3	3	1	37	517.36	18205	192	32
Normal	242	2	4	2	152	735.66	15045	114	12
Best Customer	111	1	1	1	25	2121.27	13632	1037	146
Newest Customer	143	3	4	1	51	430.5	13245	125	16
Normal	244	4	4	2	134	115.8	14143	30	7
Normal	122	2	2	1	18	834.12	17075	292	77
Normal	333	3	3	3	262	396.87	17486	191	24
Normal	244	4	4	2	150	159.85	13420	101	8
Normal	244	4	4	2	167	228.2	17969	152	14
Normal	333	3	3	3	289	462.95	12945	165	23
Normal	122	2	2	1	41	867.31	16235	330	46
Normal	132	2	3	1	90	724.76	15636	284	25
Normal	134	4	3	1	29	184.26	16433	106	17
Normal	233	3	3	2	101	566.38	16278	114	23
Best Customer	111	1	1	1	10	10464.85	14062	5593	111
Normal	242	2	4	2	177	750	12908	1200	2
Normal	344	4	4	3	215	109.13	14699	77	8
Newest Customer	144	4	4	1	23	184.19	15124	233	15
Best Customer	111	1	1	1	32	2766.5	15356	1673	519
Normal	134	4	3	1	41	244.8	16601	134	31
Normal	344	4	4	3	250	12.75	17956	1	1
Normal	323	3	2	3	314	538.37	17062	430	70
Loyal Customer	112	2	1	1	11	1158.3	14723	695	278
Normal	333	3	3	3	290	622.88	17499	711	40
Highest Paying Customer	121	1	2	1	6	3766.6	17173	1122	86
Newest Customer	144	4	4	1	24	256.32	17896	288	2
Normal	122	2	2	1	51	1163.45	14261	406	52
Best Customer	111	1	1	1	5	6697.66	16746	4665	449
